t,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),|F|
0.0004,2.95713,-6.16453,171.07614,-3.25456,3.34903,0.58793,171.21271
0.0879,3.09488,-5.93935,171.13181,-3.24639,3.34759,0.59136,171.26281
0.1089,3.03719,-6.20127,171.02963,-3.2507,3.34637,0.59507,171.16897
0.1348,3.0525,-6.25955,171.01352,-3.25154,3.34518,0.59362,171.15526
0.1585,3.09722,-6.18457,171.00589,-3.24756,3.34956,0.58931,171.14572
0.1826,2.93865,-6.11364,171.09286,-3.24826,3.35355,0.59319,171.22728
0.2107,2.96189,-6.06459,171.07587,-3.25336,3.34567,0.59359,171.20895
0.2313,2.95645,-5.91454,171.09349,-3.25647,3.34459,0.58961,171.22122
0.252,2.94556,-6.42086,171.01407,-3.26211,3.34509,0.59563,171.15991
0.2736,3.20407,-6.44921,170.96884,-3.24969,3.33868,0.60218,171.12043
0.2966,3.06471,-5.97819,170.94862,-3.25574,3.34501,0.59019,171.08058
0.3172,2.92439,-6.18969,171.19563,-3.25543,3.34659,0.59325,171.33245
0.338,3.10906,-6.20437,171.2477,-3.25425,3.35131,0.59162,171.38825
0.3591,3.07038,-6.10497,171.29053,-3.25189,3.34718,0.59034,171.42679
0.3802,3.0949,-6.17815,171.17551,-3.24962,3.34268,0.59414,171.31492
0.4025,3.03766,-6.05501,171.03772,-3.25502,3.34547,0.59179,171.17182
0.425,2.85829,-6.1319,171.04716,-3.24749,3.35241,0.58276,171.18091
0.4462,3.10806,-5.94271,171.14375,-3.2454,3.35251,0.58992,171.2751
0.467,3.02862,-6.21485,171.15988,-3.25726,3.35097,0.58884,171.29945
0.4894,3.09161,-6.14354,171.2397,-3.25967,3.33942,0.5896,171.37776
0.5135,2.86464,-6.52067,171.23222,-3.24888,3.34783,0.59602,171.38028
0.5345,2.99294,-6.0312,171.00334,-3.252,3.34981,0.59067,171.13584
0.5553,3.02463,-6.3245,171.09811,-3.25711,3.34063,0.58732,171.24168
0.5761,3.12513,-5.86682,171.30838,-3.24896,3.3516,0.59093,171.4373
0.5968,3.00561,-5.91099,171.14798,-3.25015,3.35562,0.58691,171.2764
0.6184,2.84535,-6.35237,171.23059,-3.2539,3.35534,0.59177,171.372
0.6392,2.97076,-6.22088,170.91476,-3.25821,3.34123,0.59308,171.05374
0.6669,3.00188,-6.05773,171.10773,-3.2507,3.35172,0.588,171.24124
0.6881,2.97965,-6.0751,171.25035,-3.25422,3.3487,0.59389,171.38398
0.7092,3.11384,-6.28735,171.12566,-3.25677,3.34216,0.59359,171.26943
0.7299,3.13081,-6.15742,170.91995,-3.2489,3.34549,0.59196,171.05948
0.7509,3.08495,-6.24886,170.76363,-3.25152,3.33809,0.59175,170.90577
0.7767,3.00604,-6.24029,171.14038,-3.25921,3.34302,0.59074,171.28049
0.8018,3.17705,-6.26141,171.03922,-3.25342,3.34614,0.59656,171.18327
0.826,3.13012,-6.05259,171.12422,-3.25014,3.34803,0.59274,171.25983
0.848,2.98709,-6.10306,171.31293,-3.25788,3.34756,0.58942,171.44763
0.8695,3.04873,-6.10814,171.05328,-3.24634,3.34946,0.5931,171.18946
0.8902,2.89797,-6.022,170.91499,-3.2487,3.34668,0.58915,171.0456
0.9113,2.86185,-6.15856,171.09952,-3.2574,3.35213,0.5922,171.23423
0.9338,3.08512,-6.22822,171.00662,-3.25288,3.34773,0.59236,171.14781
0.9545,2.8946,-6.28622,171.22527,-3.25452,3.34682,0.58972,171.36507
0.9805,2.94529,-6.10332,171.27472,-3.253,3.34798,0.59357,171.40874
1.005,3.14311,-6.06627,171.16527,-3.25644,3.34925,0.59041,171.30157
1.0281,3.04481,-5.95697,171.11949,-3.24716,3.34747,0.58714,171.25022
1.0511,3.03863,-6.09135,170.9848,-3.24952,3.34693,0.58773,171.12025
1.072,2.96147,-6.46191,171.1908,-3.25744,3.3472,0.59216,171.33831
1.0927,2.99527,-6.29815,171.18239,-3.2563,3.34216,0.59411,171.3244
1.1149,2.95152,-6.159,171.35028,-3.26013,3.3496,0.58598,171.48634
1.1355,3.10488,-6.06749,171.04924,-3.25669,3.34409,0.58361,171.18498
1.1561,3.07604,-5.88152,171.1907,-3.24857,3.34467,0.58992,171.31933
1.1767,3.17961,-6.21123,171.17343,-3.25343,3.35043,0.59647,171.31559
1.1977,2.90419,-6.10863,171.04245,-3.25184,3.35007,0.59024,171.17614
1.2214,3.01329,-6.23658,171.41988,-3.25216,3.3489,0.59403,171.55975
